ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     8 May 25 01:33:47 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
GO-32               11 May 25 16:39:47  11 May 25 16:54:46    48ø
GO-32               12 May 25 02:12:46  12 May 25 02:21:05     5ø
GO-32               12 May 25 03:48:23  12 May 25 04:03:41    85ø
GO-32               12 May 25 05:31:46  12 May 25 05:40:24     5ø
GO-32               12 May 25 14:39:37  12 May 25 14:48:01     4ø
GO-32               12 May 25 16:16:13  12 May 25 16:31:32    88ø

NO-44                8 May 25 10:16:40   8 May 25 10:29:22    15ø
NO-44                8 May 25 11:58:16   8 May 25 12:13:31    42ø
NO-44                8 May 25 20:58:17   8 May 25 21:11:03    14ø
NO-44                8 May 25 22:40:25   8 May 25 22:55:38    46ø
NO-44                9 May 25 09:45:41   9 May 25 09:56:21     8ø
NO-44                9 May 25 11:25:57   9 May 25 11:41:32    66ø
NO-44                9 May 25 13:13:56   9 May 25 13:21:28     3ø
NO-44                9 May 25 20:26:52   9 May 25 20:37:49     8ø
NO-44                9 May 25 22:08:10   9 May 25 22:23:43    74ø
NO-44                9 May 25 23:55:24  10 May 25 00:01:42     2ø
NO-44               10 May 25 09:15:24  10 May 25 09:22:43     3ø
NO-44               10 May 25 10:53:49  10 May 25 11:09:25    80ø
NO-44               10 May 25 12:39:55  10 May 25 12:50:35     8ø
NO-44               10 May 25 19:55:51  10 May 25 20:04:04     4ø
NO-44               10 May 25 21:36:03  10 May 25 21:51:36    72ø
NO-44               10 May 25 23:21:31  10 May 25 23:31:37     7ø
NO-44               11 May 25 10:21:52  11 May 25 10:37:12    51ø
NO-44               11 May 25 12:06:38  11 May 25 12:19:13    13ø
NO-44               11 May 25 19:26:21  11 May 25 19:28:39     0ø
NO-44               11 May 25 21:04:02  11 May 25 21:19:19    45ø
NO-44               11 May 25 22:48:20  11 May 25 23:00:44    13ø
NO-44               12 May 25 09:50:06  12 May 25 10:04:50    32ø
NO-44               12 May 25 11:33:42  12 May 25 11:47:36    20ø

SO-50                8 May 25 03:44:38   8 May 25 03:58:14    37ø
SO-50                8 May 25 05:25:22   8 May 25 05:36:51    14ø
SO-50                8 May 25 16:06:18   8 May 25 16:15:28     8ø
SO-50                8 May 25 17:43:54   8 May 25 17:56:58    47ø
SO-50                9 May 25 02:25:36   9 May 25 02:34:30     6ø
SO-50                9 May 25 04:03:23   9 May 25 04:17:26    83ø
SO-50                9 May 25 05:46:45   9 May 25 05:52:59     3ø
SO-50                9 May 25 16:23:35   9 May 25 16:35:41    24ø
SO-50                9 May 25 18:03:36   9 May 25 18:15:23    18ø
SO-50               10 May 25 02:43:13  10 May 25 02:55:27    17ø
SO-50               10 May 25 04:22:38  10 May 25 04:35:56    30ø
SO-50               10 May 25 16:41:53  10 May 25 16:55:03    68ø
SO-50               10 May 25 18:24:21  10 May 25 18:33:04     6ø
SO-50               11 May 25 03:01:33  11 May 25 03:15:17    42ø
SO-50               11 May 25 04:42:33  11 May 25 04:53:32    11ø
SO-50               11 May 25 15:22:54  11 May 25 15:32:42    10ø
SO-50               11 May 25 17:00:55  11 May 25 17:13:53    40ø
SO-50               12 May 25 01:42:17  12 May 25 01:51:52     7ø
SO-50               12 May 25 03:20:21  12 May 25 03:34:22    72ø
SO-50               12 May 25 05:04:29  12 May 25 05:09:05     1ø
SO-50               12 May 25 15:40:22  12 May 25 15:52:44    27ø
SO-50               12 May 25 17:20:44  12 May 25 17:32:12    16ø
SO-50               13 May 25 02:00:01  13 May 25 02:12:35    20ø

CO-55                8 May 25 04:57:00   8 May 25 05:10:37    22ø
CO-55                8 May 25 06:36:19   8 May 25 06:50:38    28ø
CO-55                8 May 25 17:24:36   8 May 25 17:38:35    23ø
CO-55                8 May 25 19:04:17   8 May 25 19:18:22    26ø
CO-55                9 May 25 04:35:02   9 May 25 04:46:43    12ø
CO-55                9 May 25 06:12:44   9 May 25 06:27:52    52ø
CO-55                9 May 25 17:02:19   9 May 25 17:14:26    12ø
CO-55                9 May 25 18:40:47   9 May 25 18:55:49    47ø
CO-55               10 May 25 04:13:49  10 May 25 04:22:13     5ø
CO-55               10 May 25 05:49:31  10 May 25 06:04:51    85ø
CO-55               10 May 25 07:32:59  10 May 25 07:41:36     5ø
CO-55               10 May 25 16:40:45  10 May 25 16:49:29     5ø
CO-55               10 May 25 18:17:32  10 May 25 18:32:54    85ø
CO-55               10 May 25 20:00:12  10 May 25 20:08:36     5ø
CO-55               11 May 25 05:26:36  11 May 25 05:41:36    46ø
CO-55               11 May 25 07:07:59  11 May 25 07:20:03    12ø
CO-55               11 May 25 17:54:30  11 May 25 18:09:40    52ø
CO-55               11 May 25 19:35:40  11 May 25 19:47:23    12ø
CO-55               12 May 25 05:04:03  12 May 25 05:18:06    26ø
CO-55               12 May 25 06:43:49  12 May 25 06:57:46    24ø
CO-55               12 May 25 17:31:44  12 May 25 17:46:06    28ø
CO-55               12 May 25 19:11:45  12 May 25 19:25:24    22ø
CO-55               13 May 25 04:41:54  13 May 25 04:54:19    14ø

CO-57                8 May 25 05:02:09   8 May 25 05:16:05    25ø
CO-57                8 May 25 06:41:51   8 May 25 06:55:54    25ø
CO-57                8 May 25 17:30:07   8 May 25 17:44:27    27ø
CO-57                8 May 25 19:10:07   8 May 25 19:23:55    23ø
CO-57                9 May 25 04:40:40   9 May 25 04:52:57    14ø
CO-57                9 May 25 06:18:51   9 May 25 06:33:51    44ø
CO-57                9 May 25 17:08:21   9 May 25 17:21:07    15ø
CO-57                9 May 25 18:47:13   9 May 25 19:02:05    40ø
CO-57               10 May 25 04:19:47  10 May 25 04:29:21     6ø
CO-57               10 May 25 05:56:12  10 May 25 06:11:32    81ø
CO-57               10 May 25 07:40:34  10 May 25 07:47:35     3ø
CO-57               10 May 25 16:47:07  10 May 25 16:57:10     7ø
CO-57               10 May 25 18:24:34  10 May 25 18:39:55    72ø
CO-57               10 May 25 20:07:55  10 May 25 20:14:50     3ø
CO-57               11 May 25 04:00:35  11 May 25 04:04:21     1ø
CO-57               11 May 25 05:33:50  11 May 25 05:49:00    57ø
CO-57               11 May 25 07:15:53  11 May 25 07:27:03    10ø
CO-57               11 May 25 16:27:32  11 May 25 16:31:28     1ø
CO-57               11 May 25 18:02:07  11 May 25 18:17:27    64ø
CO-57               11 May 25 19:43:44  11 May 25 19:54:36     9ø
CO-57               12 May 25 05:11:48  12 May 25 05:26:15    32ø
CO-57               12 May 25 06:52:10  12 May 25 07:05:35    19ø
CO-57               12 May 25 17:39:53  12 May 25 17:54:40    35ø

CO-58                8 May 25 01:54:01   8 May 25 02:02:18     6ø
CO-58                8 May 25 03:28:18   8 May 25 03:41:48    63ø
CO-58                8 May 25 05:09:52   8 May 25 05:12:18     0ø
CO-58                8 May 25 14:16:42   8 May 25 14:29:13    28ø
CO-58                8 May 25 15:54:05   8 May 25 16:05:19    15ø
CO-58                9 May 25 02:21:21   9 May 25 02:33:02    16ø
CO-58                9 May 25 03:57:39   9 May 25 04:10:12    27ø
CO-58                9 May 25 13:14:18   9 May 25 13:17:17     1ø
CO-58                9 May 25 14:45:08   9 May 25 14:58:28    67ø
CO-58                9 May 25 16:24:57   9 May 25 16:32:34     5ø
CO-58               10 May 25 02:49:36  10 May 25 03:02:47    38ø
CO-58               10 May 25 04:27:24  10 May 25 04:37:55    12ø
CO-58               10 May 25 13:39:37  10 May 25 13:49:04     8ø
CO-58               10 May 25 15:14:07  10 May 25 15:27:19    48ø
CO-58               11 May 25 01:45:01  11 May 25 01:51:13     3ø
CO-58               11 May 25 03:18:20  11 May 25 03:31:55    87ø
CO-58               11 May 25 04:58:11  11 May 25 05:04:23     3ø
CO-58               11 May 25 14:07:04  11 May 25 14:19:02    21ø
CO-58               11 May 25 15:43:43  11 May 25 15:55:41    20ø
CO-58               12 May 25 02:11:47  12 May 25 02:22:35    12ø
CO-58               12 May 25 03:47:30  12 May 25 04:00:30    36ø
CO-58               12 May 25 14:35:16  12 May 25 14:48:24    48ø
CO-58               12 May 25 16:14:05  12 May 25 16:23:21     8ø

CO-65                8 May 25 02:48:07   8 May 25 02:59:28    25ø
CO-65                8 May 25 04:23:35   8 May 25 04:33:23    12ø
CO-65                8 May 25 14:37:39   8 May 25 14:46:41     8ø
CO-65                8 May 25 16:10:58   8 May 25 16:22:52    36ø
CO-65                9 May 25 02:45:00   9 May 25 02:56:12    23ø
CO-65                9 May 25 04:20:14   9 May 25 04:30:19    13ø
CO-65                9 May 25 14:34:38   9 May 25 14:43:15     7ø
CO-65                9 May 25 16:07:43   9 May 25 16:19:43    40ø
CO-65               10 May 25 02:41:53  10 May 25 02:52:55    21ø
CO-65               10 May 25 04:16:52  10 May 25 04:27:13    15ø
CO-65               10 May 25 14:31:38  10 May 25 14:39:46     6ø
CO-65               10 May 25 16:04:27  10 May 25 16:16:32    45ø
CO-65               11 May 25 02:38:45  11 May 25 02:49:35    19ø
CO-65               11 May 25 04:13:29  11 May 25 04:24:05    17ø
CO-65               11 May 25 14:28:37  11 May 25 14:36:14     5ø
CO-65               11 May 25 16:01:10  11 May 25 16:13:19    50ø
CO-65               12 May 25 02:35:36  12 May 25 02:46:14    17ø
CO-65               12 May 25 04:10:05  12 May 25 04:20:55    19ø
CO-65               12 May 25 14:25:37  12 May 25 14:32:38     4ø
CO-65               12 May 25 15:57:51  12 May 25 16:10:04    57ø
CO-65               13 May 25 02:32:26  13 May 25 02:42:50    15ø
CO-65               13 May 25 04:06:40  13 May 25 04:17:43    21ø
CO-65               13 May 25 14:22:38  13 May 25 14:28:57     3ø

CO-66                8 May 25 02:53:13   8 May 25 03:01:47     9ø
CO-66                8 May 25 04:25:33   8 May 25 04:36:41    31ø
CO-66                8 May 25 16:07:33   8 May 25 16:19:10    58ø
CO-66                8 May 25 17:43:45   8 May 25 17:49:52     4ø
CO-66                9 May 25 02:38:31   9 May 25 02:44:48     4ø
CO-66                9 May 25 04:09:18   9 May 25 04:20:54    57ø
CO-66                9 May 25 15:51:44   9 May 25 16:02:59    32ø
CO-66                9 May 25 17:26:43   9 May 25 17:35:11     8ø
CO-66               10 May 25 03:53:16  10 May 25 04:04:56    76ø
CO-66               10 May 25 05:31:19  10 May 25 05:35:02     1ø
CO-66               10 May 25 15:36:03  10 May 25 15:46:33    18ø
CO-66               10 May 25 17:10:05  10 May 25 17:20:00    15ø
CO-66               11 May 25 03:37:23  11 May 25 03:48:47    40ø
CO-66               11 May 25 05:13:19  11 May 25 05:20:47     6ø
CO-66               11 May 25 15:20:35  11 May 25 15:29:48    10ø
CO-66               11 May 25 16:53:37  11 May 25 17:04:29    25ø
CO-66               12 May 25 03:21:40  12 May 25 03:32:27    23ø
CO-66               12 May 25 04:56:13  12 May 25 05:05:36    11ø
CO-66               12 May 25 15:05:27  12 May 25 15:12:35     5ø
