ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     6 Jun 25 17:53:18 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
CO-57                7 Jun 25 19:35:19   7 Jun 25 19:47:02    12ø
CO-57                8 Jun 25 05:03:56   8 Jun 25 05:18:03    26ø
CO-57                8 Jun 25 06:43:44   8 Jun 25 06:57:47    24ø
CO-57                8 Jun 25 17:31:59   8 Jun 25 17:46:18    28ø
CO-57                8 Jun 25 19:12:04   8 Jun 25 19:25:39    22ø
CO-57                9 Jun 25 04:42:23   9 Jun 25 04:54:55    15ø
CO-57                9 Jun 25 06:20:41   9 Jun 25 06:35:43    43ø
CO-57                9 Jun 25 17:10:10   9 Jun 25 17:22:58    16ø
CO-57                9 Jun 25 18:49:07   9 Jun 25 19:03:49    38ø
CO-57               10 Jun 25 04:21:25  10 Jun 25 04:31:20     7ø
CO-57               10 Jun 25 05:57:58  10 Jun 25 06:13:23    78ø
CO-57               10 Jun 25 07:42:31  10 Jun 25 07:49:16     3ø
CO-57               10 Jun 25 16:48:52  10 Jun 25 16:59:01     7ø
CO-57               10 Jun 25 18:26:24  10 Jun 25 18:41:39    69ø
CO-57               10 Jun 25 20:09:59  10 Jun 25 20:16:18     2ø
CO-57               11 Jun 25 04:01:54  11 Jun 25 04:06:34     1ø
CO-57               11 Jun 25 05:35:34  11 Jun 25 05:50:50    59ø
CO-57               11 Jun 25 07:17:43  11 Jun 25 07:28:47     9ø

CO-58                7 Jun 25 01:48:33   7 Jun 25 01:55:01     3ø
CO-58                7 Jun 25 03:21:57   7 Jun 25 03:35:34    85ø
CO-58                7 Jun 25 05:01:50   7 Jun 25 05:07:57     3ø
CO-58                7 Jun 25 14:10:28   7 Jun 25 14:22:34    21ø
CO-58                7 Jun 25 15:47:09   7 Jun 25 15:59:10    20ø
CO-58                8 Jun 25 02:15:09   8 Jun 25 02:26:02    12ø
CO-58                8 Jun 25 03:50:53   8 Jun 25 04:03:54    35ø
CO-58                8 Jun 25 14:38:26   8 Jun 25 14:51:41    49ø
CO-58                8 Jun 25 16:17:16   8 Jun 25 16:26:36     8ø
CO-58                9 Jun 25 02:42:55   9 Jun 25 02:55:46    28ø
CO-58                9 Jun 25 04:20:10   9 Jun 25 04:31:36    16ø
CO-58                9 Jun 25 13:33:22   9 Jun 25 13:41:30     5ø
CO-58                9 Jun 25 15:06:58   9 Jun 25 15:20:23    68ø
CO-58               10 Jun 25 01:40:27  10 Jun 25 01:41:35     0ø
CO-58               10 Jun 25 03:11:14  10 Jun 25 03:24:48    68ø
CO-58               10 Jun 25 04:50:09  10 Jun 25 04:58:25     6ø
CO-58               10 Jun 25 14:00:09  10 Jun 25 14:11:30    15ø
CO-58               10 Jun 25 15:36:03  10 Jun 25 15:48:41    28ø
CO-58               11 Jun 25 02:04:58  11 Jun 25 02:14:35     8ø
CO-58               11 Jun 25 03:39:56  11 Jun 25 03:53:19    49ø
CO-58               11 Jun 25 14:27:50  11 Jun 25 14:40:47    35ø
CO-58               11 Jun 25 16:05:46  11 Jun 25 16:16:25    12ø
CO-58               12 Jun 25 02:32:24  12 Jun 25 02:44:38    21ø

